DATE,DEXJPUS
1971-01-01,357.72
1971-02-01,357.56
1971-03-01,357.42
1971-04-01,357.40
1971-05-01,357.40
1971-06-01,357.40
1971-07-01,357.39
1971-08-01,339.85
1971-09-01,335.35
1971-10-01,329.50
1971-11-01,327.44
1971-12-01,315.01
1972-01-01,310.56
1972-02-01,303.40
1972-03-01,304.32
1972-04-01,304.88
1972-05-01,304.69
1972-06-01,300.93
1972-07-01,301.39
1972-08-01,301.11
1972-09-01,301.11
1972-10-01,301.11
1972-11-01,301.11
1972-12-01,301.66
1973-01-01,301.39
1973-02-01,265.67
1973-03-01,265.96
1973-04-01,265.53
1973-05-01,264.69
1973-06-01,263.16
1973-07-01,263.44
1973-08-01,265.39
1973-09-01,265.60
1973-10-01,266.95
1973-11-01,280.11
1973-12-01,280.27
1974-01-01,298.77
1974-02-01,288.43
1974-03-01,276.09
1974-04-01,279.64
1974-05-01,281.93
1974-06-01,284.25
1974-07-01,298.24
1974-08-01,302.94
1974-09-01,298.33
1974-10-01,299.94
1974-11-01,300.30
1974-12-01,301.02
1975-01-01,297.97
1975-02-01,286.45
1975-03-01,294.03
1975-04-01,292.23
1975-05-01,291.55
1975-06-01,295.68
1975-07-01,297.71
1975-08-01,297.97
1975-09-01,302.85
1975-10-01,301.75
1975-11-01,303.12
1975-12-01,305.16
1976-01-01,303.67
1976-02-01,302.11
1976-03-01,299.58
1976-04-01,299.04
1976-05-01,300.03
1976-06-01,297.97
1976-07-01,293.26
1976-08-01,289.35
1976-09-01,286.86
1976-10-01,294.38
1976-11-01,297.09
1976-12-01,293.08
1977-01-01,288.43
1977-02-01,282.81
1977-03-01,277.55
1977-04-01,277.78
1977-05-01,277.28
1977-06-01,267.59
1977-07-01,266.81
1977-08-01,267.50
1977-09-01,263.71
1977-10-01,249.13
1977-11-01,244.02
1977-12-01,239.98
1978-01-01,241.60
1978-02-01,238.10
1978-03-01,229.89
1978-04-01,224.97
1978-05-01,221.34
1978-06-01,203.71
1978-07-01,189.14
1978-08-01,190.51
1978-09-01,189.19
1978-10-01,179.50
1978-11-01,199.10
1978-12-01,194.30
1979-01-01,202.20
1979-02-01,202.65
1979-03-01,209.58
1979-04-01,221.80
1979-05-01,220.35
1979-06-01,217.80
1979-07-01,216.70
1979-08-01,220.40
1979-09-01,224.50
1979-10-01,237.85
1979-11-01,249.55
1979-12-01,240.30
1980-01-01,239.33
1980-02-01,251.65
1980-03-01,249.95
1980-04-01,239.35
1980-05-01,223.00
1980-06-01,219.90
1980-07-01,227.40
1980-08-01,219.10
1980-09-01,210.85
1980-10-01,211.05
1980-11-01,216.60
1980-12-01,203.10
1981-01-01,206.70
1981-02-01,209.70
1981-03-01,211.25
1981-04-01,215.78
1981-05-01,223.90
1981-06-01,226.85
1981-07-01,240.40
1981-08-01,230.50
1981-09-01,232.30
1981-10-01,232.80
1981-11-01,214.20
1981-12-01,219.80
1982-01-01,228.30
1982-02-01,237.25
1982-03-01,248.25
1982-04-01,235.85
1982-05-01,243.30
1982-06-01,255.00
1982-07-01,258.10
1982-08-01,261.10
1982-09-01,268.30
1982-10-01,277.10
1982-11-01,249.20
1982-12-01,234.70
1983-01-01,239.85
1983-02-01,237.85
1983-03-01,239.00
1983-04-01,238.30
1983-05-01,238.85
1983-06-01,239.28
1983-07-01,241.75
1983-08-01,246.45
1983-09-01,235.65
1983-10-01,234.05
1983-11-01,232.50
1983-12-01,231.70
1984-01-01,234.67
1984-02-01,233.43
1984-03-01,224.75
1984-04-01,227.00
1984-05-01,231.58
1984-06-01,237.30
1984-07-01,245.30
1984-08-01,241.90
1984-09-01,246.90
1984-10-01,245.70
1984-11-01,247.50
1984-12-01,251.60
1985-01-01,254.80
1985-02-01,259.45
1985-03-01,251.00
1985-04-01,251.50
1985-05-01,251.20
1985-06-01,248.40
1985-07-01,236.45
1985-08-01,239.00
1985-09-01,216.50
1985-10-01,211.55
1985-11-01,202.10
1985-12-01,200.25
1986-01-01,192.30
1986-02-01,180.55
1986-03-01,177.60
1986-04-01,167.60
1986-05-01,174.50
1986-06-01,163.80
1986-07-01,153.85
1986-08-01,154.55
1986-09-01,154.35
1986-10-01,163.40
1986-11-01,162.05
1986-12-01,158.30
1987-01-01,153.65
1987-02-01,153.27
1987-03-01,145.68
1987-04-01,140.67
1987-05-01,144.10
1987-06-01,146.80
1987-07-01,149.90
1987-08-01,141.75
1987-09-01,146.50
1987-10-01,138.40
1987-11-01,132.42
1987-12-01,121.25
1988-01-01,127.75
1988-02-01,128.45
1988-03-01,124.10
1988-04-01,124.92
1988-05-01,125.11
1988-06-01,133.53
1988-07-01,133.05
1988-08-01,136.52
1988-09-01,133.90
1988-10-01,125.50
1988-11-01,121.90
1988-12-01,125.05
1989-01-01,130.50
1989-02-01,126.87
1989-03-01,132.77
1989-04-01,132.85
1989-05-01,142.33
1989-06-01,144.00
1989-07-01,136.95
1989-08-01,144.60
1989-09-01,139.60
1989-10-01,142.73
1989-11-01,142.91
1989-12-01,143.80
1990-01-01,144.55
1990-02-01,148.82
1990-03-01,157.82
1990-04-01,158.85
1990-05-01,152.64
1990-06-01,152.35
1990-07-01,146.13
1990-08-01,143.93
1990-09-01,138.27
1990-10-01,129.95
1990-11-01,133.10
1990-12-01,135.75
1991-01-01,131.45
1991-02-01,132.95
1991-03-01,140.60
1991-04-01,136.38
1991-05-01,138.45
1991-06-01,137.90
1991-07-01,137.42
1991-08-01,136.85
1991-09-01,132.85
1991-10-01,130.60
1991-11-01,130.08
1991-12-01,124.90
1992-01-01,125.55
1992-02-01,129.15
1992-03-01,132.92
1992-04-01,133.30
1992-05-01,127.75
1992-06-01,125.87
1992-07-01,127.35
1992-08-01,122.95
1992-09-01,120.00
1992-10-01,123.30
1992-11-01,124.42
1992-12-01,124.85
1993-01-01,124.97
1993-02-01,118.10
1993-03-01,114.90
1993-04-01,111.27
1993-05-01,107.17
1993-06-01,106.80
1993-07-01,105.05
1993-08-01,104.73
1993-09-01,106.05
1993-10-01,108.35
1993-11-01,109.08
1993-12-01,111.70
1994-01-01,108.72
1994-02-01,104.22
1994-03-01,102.40
1994-04-01,102.05
1994-05-01,104.74
1994-06-01,98.51
1994-07-01,100.05
1994-08-01,100.11
1994-09-01,99.05
1994-10-01,96.90
1994-11-01,98.91
1994-12-01,99.60
1995-01-01,99.43
1995-02-01,96.60
1995-03-01,86.85
1995-04-01,84.04
1995-05-01,84.65
1995-06-01,84.78
1995-07-01,88.34
1995-08-01,97.75
1995-09-01,99.10
1995-10-01,102.26
1995-11-01,101.80
1995-12-01,103.28
1996-01-01,106.95
1996-02-01,105.12
1996-03-01,107.00
1996-04-01,104.63
1996-05-01,107.99
1996-06-01,109.48
1996-07-01,106.77
1996-08-01,108.70
1996-09-01,111.65
1996-10-01,113.79
1996-11-01,113.88
1996-12-01,115.77
1997-01-01,121.25
1997-02-01,120.83
1997-03-01,123.72
1997-04-01,127.03
1997-05-01,116.40
1997-06-01,114.61
1997-07-01,118.37
1997-08-01,120.65
1997-09-01,120.71
1997-10-01,120.39
1997-11-01,127.74
1997-12-01,130.45
1998-01-01,127.10
1998-02-01,126.12
1998-03-01,133.29
1998-04-01,132.37
1998-05-01,138.50
1998-06-01,138.29
1998-07-01,144.65
1998-08-01,140.90
1998-09-01,136.59
1998-10-01,116.45
1998-11-01,123.21
1998-12-01,113.08
1999-01-01,116.00
1999-02-01,118.70
1999-03-01,118.43
1999-04-01,119.43
1999-05-01,120.88
1999-06-01,120.94
1999-07-01,114.70
1999-08-01,109.30
1999-09-01,106.82
1999-10-01,104.29
1999-11-01,101.80
1999-12-01,102.16
2000-01-01,107.33
2000-02-01,109.88
2000-03-01,102.73
2000-04-01,107.98
2000-05-01,107.74
2000-06-01,106.14
2000-07-01,109.68
2000-08-01,106.66
2000-09-01,107.90
2000-10-01,109.15
2000-11-01,110.93
2000-12-01,114.35
2001-01-01,116.39
2001-02-01,117.28
2001-03-01,125.54
2001-04-01,123.57
2001-05-01,118.88
2001-06-01,124.73
2001-07-01,125.00
2001-08-01,118.75
2001-09-01,119.23
2001-10-01,122.54
2001-11-01,123.22
2001-12-01,131.04
2002-01-01,134.06
2002-02-01,133.96
2002-03-01,132.70
2002-04-01,128.45
2002-05-01,124.13
2002-06-01,119.85
2002-07-01,119.77
2002-08-01,118.76
2002-09-01,121.74
2002-10-01,122.78
2002-11-01,122.72
2002-12-01,118.75
2003-01-01,119.96
2003-02-01,118.22
2003-03-01,118.07
2003-04-01,119.07
2003-05-01,119.50
2003-06-01,119.87
2003-07-01,120.42
2003-08-01,116.71
2003-09-01,111.43
2003-10-01,110.10
2003-11-01,109.53
2003-12-01,107.13
2004-01-01,105.84
2004-02-01,109.26
2004-03-01,104.18
2004-04-01,110.37
2004-05-01,110.18
2004-06-01,109.43
2004-07-01,111.39
2004-08-01,109.00
2004-09-01,110.20
2004-10-01,106.04
2004-11-01,103.04
2004-12-01,102.68
2005-01-01,103.55
2005-02-01,104.25
2005-03-01,107.22
2005-04-01,104.64
2005-05-01,107.97
2005-06-01,110.91
2005-07-01,112.25
2005-08-01,110.84
2005-09-01,113.29
2005-10-01,116.36
2005-11-01,119.66
2005-12-01,117.88
2006-01-01,116.88
2006-02-01,115.82
2006-03-01,117.48
2006-04-01,113.79
2006-05-01,112.26
2006-06-01,114.51
2006-07-01,114.44
2006-08-01,117.35
2006-09-01,117.99
2006-10-01,116.82
2006-11-01,115.55
2006-12-01,119.02
2007-01-01,121.02
2007-02-01,118.33
2007-03-01,117.56
2007-04-01,119.44
2007-05-01,121.76
2007-06-01,123.39
2007-07-01,119.13
2007-08-01,115.83
2007-09-01,114.97
2007-10-01,115.27
2007-11-01,111.02
2007-12-01,111.71
2008-01-01,106.74
2008-02-01,104.1900
2008-03-01,99.8500
2008-04-01,104.5300
2008-05-01,105.4600
2008-06-01,106.1700
2008-07-01,108.1000
2008-08-01,108.6900
2008-09-01,105.9400
2008-10-01,98.2800
2008-11-01,95.4600
2008-12-01,90.7900
2009-01-01,89.8300
2009-02-01,97.7400
2009-03-01,99.1500
2009-04-01,98.7600
2009-05-01,95.5500
2009-06-01,96.4200
2009-07-01,94.5400
2009-08-01,92.8200
2009-09-01,89.4900
2009-10-01,90.5000
2009-11-01,86.1200
2009-12-01,93.0800
2010-01-01,90.3800
2010-02-01,88.8400
2010-03-01,93.4000
2010-04-01,94.2400
2010-05-01,90.8100
2010-06-01,88.4900
2010-07-01,86.4300
2010-08-01,84.1000
2010-09-01,83.5300
2010-10-01,80.4800
2010-11-01,83.5600
2010-12-01,81.6700
2011-01-01,81.9700
2011-02-01,81.9400
2011-03-01,82.7600
2011-04-01,81.3100
2011-05-01,81.2900
2011-06-01,80.6400
2011-07-01,77.1800
2011-08-01,76.5000
2011-09-01,77.0400
2011-10-01,77.9700
2011-11-01,77.5800
2011-12-01,76.9800
2012-01-01,76.3400
2012-02-01,81.1000
2012-03-01,82.4100
2012-04-01,79.8100
2012-05-01,78.2900
2012-06-01,79.8100
2012-07-01,78.1000
2012-08-01,78.3000
2012-09-01,77.9200
2012-10-01,79.9400
2012-11-01,82.5400
2012-12-01,86.6400
2013-01-01,91.2800
2013-02-01,92.3600
2013-03-01,94.1600
2013-04-01,97.5200
2013-05-01,100.8300
2013-06-01,99.2100
2013-07-01,98.3500
2013-08-01,98.2200
2013-09-01,98.2900
2013-10-01,98.1000
2013-11-01,102.4500
2013-12-01,105.2500
2014-01-01,102.2800
2014-02-01,102.0800
2014-03-01,102.9800
2014-04-01,102.1400
2014-05-01,101.7700
2014-06-01,101.2800
2014-07-01,102.7500
2014-08-01,104.0000
2014-09-01,109.6600
2014-10-01,112.0900
2014-11-01,118.7000
2014-12-01,119.8500
2015-01-01,117.4400
2015-02-01,119.7200
2015-03-01,119.9600
2015-04-01,119.8600
2015-05-01,123.9800
2015-06-01,122.1000
2015-07-01,123.9400
2015-08-01,121.2600
