DATE,UNRATE,DEXJPUS
1971-01-01,5.9,358.0200000000000000
1971-02-01,5.9,357.5450000000000000
1971-03-01,6.0,357.5186956521739130
1971-04-01,5.9,357.5031818181818182
1971-05-01,5.9,357.4130000000000000
1971-06-01,5.9,357.4118181818181818
1971-07-01,6.0,357.4042857142857143
1971-08-01,6.1,355.7800000000000000
1971-09-01,6.0,338.0209523809523810
1971-10-01,5.8,331.1105263157894737
1971-11-01,6.0,328.7520000000000000
1971-12-01,6.0,320.0727272727272727
1972-01-01,5.8,312.7200000000000000
1972-02-01,5.7,305.1870000000000000
1972-03-01,5.8,302.5365217391304348
1972-04-01,5.7,303.5605000000000000
1972-05-01,5.7,304.3795454545454545
1972-06-01,5.7,302.4145454545454545
1972-07-01,5.6,301.0305000000000000
1972-08-01,5.6,301.1608695652173913
1972-09-01,5.5,301.1190000000000000
1972-10-01,5.6,301.0110000000000000
1972-11-01,5.3,300.9885000000000000
1972-12-01,5.2,301.2405000000000000
1973-01-01,4.9,301.7881818181818182
1973-02-01,5.0,278.4205555555555556
1973-03-01,4.9,261.9013636363636364
1973-04-01,5.0,265.4914285714285714
1973-05-01,4.9,264.6504545454545455
1973-06-01,4.9,264.4980952380952381
1973-07-01,4.8,264.5538095238095238
1973-08-01,4.8,265.2200000000000000
1973-09-01,4.8,265.4747368421052632
1973-10-01,4.6,266.3347619047619048
1973-11-01,4.8,278.2625000000000000
1973-12-01,4.9,280.1775000000000000
1974-01-01,5.1,298.1336363636363636
1974-02-01,5.2,291.0872222222222222
1974-03-01,5.1,282.1647619047619048
1974-04-01,5.1,277.7740909090909091
1974-05-01,5.1,278.9663636363636364
1974-06-01,5.4,282.9700000000000000
1974-07-01,5.5,290.9800000000000000
1974-08-01,5.5,302.2836363636363636
1974-09-01,5.9,299.0840000000000000
1974-10-01,6.0,299.3645454545454545
1974-11-01,6.6,300.0750000000000000
1974-12-01,7.2,300.4114285714285714
1975-01-01,8.1,299.6845454545454545
1975-02-01,8.1,291.6583333333333333
1975-03-01,8.6,287.9485714285714286
1975-04-01,8.8,292.1968181818181818
1975-05-01,9.0,291.4304761904761905
1975-06-01,8.8,293.4661904761904762
1975-07-01,8.6,296.3740909090909091
1975-08-01,8.4,297.9761904761904762
1975-09-01,8.4,299.9090476190476190
1975-10-01,8.4,302.3363636363636364
1975-11-01,8.3,302.5452941176470588
1975-12-01,8.2,305.6700000000000000
1976-01-01,7.9,304.6357142857142857
1976-02-01,7.7,301.5944444444444444
1976-03-01,7.6,300.5182608695652174
1976-04-01,7.7,299.1086363636363636
1976-05-01,7.4,299.0040000000000000
1976-06-01,7.6,299.1909090909090909
1976-07-01,7.8,294.6409523809523810
1976-08-01,7.8,290.6259090909090909
1976-09-01,7.6,287.3609523809523810
1976-10-01,7.7,291.1890000000000000
1976-11-01,7.8,295.1652631578947368
1976-12-01,7.8,294.7017391304347826
1977-01-01,7.5,291.0523809523809524
1977-02-01,7.6,285.0221052631578947
1977-03-01,7.4,280.2265217391304348
1977-04-01,7.2,275.2071428571428571
1977-05-01,7.0,277.4261904761904762
1977-06-01,7.2,272.8609090909090909
1977-07-01,6.9,264.8631578947368421
1977-08-01,7.0,266.6773913043478261
1977-09-01,6.8,266.7700000000000000
1977-10-01,6.8,254.7445000000000000
1977-11-01,6.8,244.7026315789473684
1977-12-01,6.4,241.0228571428571429
1978-01-01,6.4,241.0809523809523810
1978-02-01,6.3,240.3722222222222222
1978-03-01,6.3,231.8573913043478261
1978-04-01,6.1,221.8570000000000000
1978-05-01,6.0,226.1786363636363636
1978-06-01,5.9,214.1063636363636364
